"","Stkcd","Rptdt","Fenddt","Brokern","Feps","EDates","REps","name","dev","DateDiff"
"172",1,2012-03-09,2013-12-31,"齐鲁证券有限公司",2.67,"rptDate=20131231",1.86,"程娇翼",0.435483870967742,662
"173",1,2013-03-07,2013-12-31,"齐鲁证券有限公司",2.54,"rptDate=20131231",1.86,"程娇翼",0.365591397849462,299
"174",1,2013-03-07,2014-12-31,"齐鲁证券有限公司",3.12,"rptDate=20141231",1.73,"程娇翼",0.803468208092486,664
"175",1,2013-03-07,2015-12-31,"齐鲁证券有限公司",3.62,"rptDate=20151231",NA,"程娇翼",NA,1029
"176",1,2013-10-23,2013-12-31,"齐鲁证券有限公司",1.62,"rptDate=20131231",1.86,"程娇翼",0.129032258064516,69
"177",1,2013-10-23,2014-12-31,"齐鲁证券有限公司",1.99,"rptDate=20141231",1.73,"程娇翼",0.15028901734104,434
"178",1,2013-10-23,2015-12-31,"齐鲁证券有限公司",2.38,"rptDate=20151231",NA,"程娇翼",NA,799
"179",1,2010-04-29,2010-12-31,"中信证券股份有限公司",1.99,"rptDate=20101231",1.91,"程桯",0.0418848167539267,246
"180",1,2010-04-29,2011-12-31,"中信证券股份有限公司",2.41,"rptDate=20111231",2.47,"程桯",0.0242914979757085,611
"181",1,2010-05-05,2011-12-31,"中信证券股份有限公司",2.41,"rptDate=20111231",2.47,"程桯",0.0242914979757085,605
"182",1,2010-05-05,2010-12-31,"中信证券股份有限公司",1.99,"rptDate=20101231",1.91,"程桯",0.0418848167539267,240
"183",1,2011-07-13,2012-12-31,"中信证券股份有限公司",2.96,"rptDate=20121231",2.62,"程桯",0.129770992366412,537
"184",1,2011-07-13,2011-12-31,"中信证券股份有限公司",2.46,"rptDate=20111231",2.47,"程桯",0.00404858299595151,171
"185",1,2011-08-18,2011-12-31,"中信证券股份有限公司",1.76,"rptDate=20111231",2.47,"程桯",0.287449392712551,135
"186",1,2011-08-18,2012-12-31,"中信证券股份有限公司",2.11,"rptDate=20121231",2.62,"程桯",0.194656488549618,501
"187",1,2011-08-18,2013-12-31,"中信证券股份有限公司",2.43,"rptDate=20131231",1.86,"程桯",0.306451612903226,866
"188",1,2012-08-03,2012-12-31,"浙商证券有限责任公司",2.36,"rptDate=20121231",2.62,"戴方",0.0992366412213741,150
"189",1,2012-08-03,2013-12-31,"浙商证券有限责任公司",2.14,"rptDate=20131231",1.86,"戴方",0.150537634408602,515
"190",1,2012-08-16,2012-12-31,"浙商证券有限责任公司",2.34,"rptDate=20121231",2.62,"戴方",0.106870229007634,137
"191",1,2012-08-16,2013-12-31,"浙商证券有限责任公司",2.1,"rptDate=20131231",1.86,"戴方",0.129032258064516,502
"192",1,2012-08-24,2012-12-31,"浙商证券有限责任公司",1.16,"rptDate=20121231",2.62,"戴方",0.557251908396947,129
"193",1,2012-08-24,2013-12-31,"浙商证券有限责任公司",1.19,"rptDate=20131231",1.86,"戴方",0.360215053763441,494
"194",1,2013-01-11,2013-12-31,"浙商证券股份有限公司",2.42,"rptDate=20131231",1.86,"戴方",0.301075268817204,354
"195",1,2013-01-11,2012-12-31,"浙商证券股份有限公司",2.34,"rptDate=20121231",2.62,"戴方",0.106870229007634,-11
"196",1,2013-03-08,2012-12-31,"浙商证券股份有限公司",2.62,"rptDate=20121231",2.62,"戴方",0,-67
"197",1,2013-03-08,2013-12-31,"浙商证券股份有限公司",2.55,"rptDate=20131231",1.86,"戴方",0.370967741935484,298
"198",1,2013-03-08,2014-12-31,"浙商证券股份有限公司",1.85,"rptDate=20141231",1.73,"戴方",0.069364161849711,663
"199",1,2013-04-24,2013-12-31,"浙商证券股份有限公司",2.5,"rptDate=20131231",1.86,"戴方",0.344086021505376,251
"200",1,2013-04-24,2014-12-31,"浙商证券股份有限公司",1.84,"rptDate=20141231",1.73,"戴方",0.0635838150289018,616
"201",1,2013-08-23,2014-12-31,"浙商证券股份有限公司",1.76,"rptDate=20141231",1.73,"戴方",0.0173410404624278,495
"202",1,2013-08-23,2013-12-31,"浙商证券股份有限公司",2.85,"rptDate=20131231",1.86,"戴方",0.532258064516129,130
"203",1,2010-10-27,2010-12-31,"华泰联合证券有限责任公司",0.87,"rptDate=20101231",1.91,"戴志锋",0.544502617801047,65
"204",1,2010-10-27,2012-12-31,"华泰联合证券有限责任公司",2.1,"rptDate=20121231",2.62,"戴志锋",0.198473282442748,796
"205",1,2010-10-27,2011-12-31,"华泰联合证券有限责任公司",1.7,"rptDate=20111231",2.47,"戴志锋",0.311740890688259,430
