H_wage,Female,Black,Edu,Exp,Married
14,0,1,9,13,1
16.825,1,0,16,25,0
8,0,1,12,16,1
16.5,0,0,15,29,1
5.5,1,0,12,10,0
8,1,0,14,23,0
4.74,1,0,12,14,1
8.5,0,0,14,11,1
3.5,1,0,9,16,1
7,1,1,16,7,1
14.375,0,0,12,37,1
6.2,1,1,12,36,0
5,0,0,12,16,0
8.3,1,1,12,17,0
8,0,0,9,20,1
10,0,0,13,9,0
10.4,1,0,16,19,0
8.9111,0,0,13,8,0
8.75,1,0,13,21,0
6.25,0,0,14,25,1
9,0,1,12,8,1
6.5,1,0,12,17,1
6.6,1,1,15,9,0
9.74,1,0,16,7,1
3.75,1,0,16,33,1
11.25,0,1,5,43,0
6.95,0,0,14,10,1
9.1429,1,0,13,32,1
1.125,1,1,11,42,1
9.375,0,0,18,15,1
7.25,1,0,12,26,1
14.9,0,0,16,23,1
21.02,1,0,16,15,1
10,1,0,12,14,0
26.6308,0,0,18,17,1
11.5636,1,0,15,20,0
6.6,1,0,15,23,1
8.75,1,0,14,34,0
8.75,1,0,12,12,1
8.75,0,1,14,28,1
14.5,1,0,16,16,1
8.1818,0,0,12,12,1
25,0,0,18,17,1
10,1,0,12,20,1
25,0,0,16,7,1
23.06,0,0,18,19,1
6.25,1,0,17,13,1
11.25,1,0,12,16,0
13.01,0,0,15,18,1
3.2738,0,0,13,7,1
4.75,1,0,12,15,0
31.75,0,0,16,36,1
7,1,0,12,21,1
11.32,1,0,14,16,0
15.75,0,0,12,10,1
20,0,0,18,24,1
9.62,0,0,16,17,1
15.5556,0,0,16,24,1
8.75,0,0,14,24,1
8,0,0,15,7,0
15.7895,0,0,14,27,1
7,1,0,12,23,1
6.75,1,0,12,40,1
10,1,0,16,8,0
17.64,0,0,11,33,1
12,1,0,13,21,1
24.1395,0,0,18,5,1
6.5,0,0,12,25,1
17.7778,0,0,16,19,1
11.5,0,0,15,9,1
8.25,1,0,12,9,1
10,0,0,12,9,0
30.76,0,0,18,9,1
4,1,0,12,18,1
11,0,0,12,41,0
8.15,0,0,8,33,1
7.0833,0,0,12,19,1
4,1,0,10,18,1
7.5,0,1,16,18,0
7.5,0,0,12,24,0
6.6,0,0,5,35,1
5.2,1,1,9,12,0
9.18,0,0,12,17,1
14.45,0,1,15,15,1
4.55,1,0,7,21,1
9.65,0,1,12,11,0
9.71,1,1,12,16,0
7.58,1,0,14,24,1
7.5,1,0,10,25,0
12.5,0,0,12,20,1
16.25,0,1,16,32,1
3.5,1,0,12,22,1
12.8,1,0,16,5,0
10,0,0,14,9,0
5.5,0,0,10,13,1
3.75,1,1,12,11,0
6,0,0,12,12,1
17.8,0,0,16,22,1
15.2778,1,0,18,13,0
7.5,1,0,12,11,0
15,1,0,18,19,1
12.5,1,0,15,9,1
8.5,0,1,10,29,1
11.55,0,0,15,6,0
9,1,0,12,16,0
13.6364,1,0,18,23,1
9.25,1,0,12,18,0
15,0,0,13,24,1
5,1,1,12,20,0
17.5,0,0,14,8,0
17.525,0,0,12,37,1
11,0,0,12,14,1
13,1,0,12,29,1
10.25,1,0,12,25,0
14.2857,0,0,16,12,0
12,0,0,13,15,1
8.75,1,0,16,10,1
27.875,0,0,17,23,1
10,1,1,16,18,1
7.2727,0,0,16,13,1
12,0,0,12,34,1
10,1,0,18,16,1
7.6833,0,1,15,7,1
6,0,0,12,9,1
18,1,0,16,20,1
9.5556,1,0,12,26,0
7.7778,1,0,12,18,0
9.1,1,0,12,12,0
8,0,0,11,35,0
11.625,0,0,12,20,1
20.0789,0,0,14,34,1
14,1,0,18,14,1
25,0,0,16,18,1
15.1,0,0,14,16,0
6,0,0,12,31,1
13.75,1,0,12,9,0
7.2917,0,0,16,9,1
10,0,0,12,9,0
8.5,1,0,13,25,1
12.5,0,0,11,33,1
16.875,0,0,16,12,1
21.325,0,0,12,24,1
7.35,0,0,12,15,1
9.6,0,0,13,24,1
12.2222,0,0,15,15,1
6.9,1,0,12,40,0
11.67,0,0,13,10,1
11.6667,0,0,12,15,1
12.5,1,0,14,32,1
8.92,1,0,12,15,1
18.91,0,0,12,34,1
18.25,0,0,17,3,1
6.75,0,0,12,23,1
13.24,0,0,13,10,1
9.8182,0,0,16,15,1
20,0,0,12,26,1
15,1,0,17,26,1
10.6,0,0,12,17,0
9.6,0,0,12,32,1
8,1,0,14,24,1
8,0,0,10,25,1
8,0,0,12,8,1
8.5,0,0,14,19,1
8,0,0,8,12,1
14.52,0,0,13,40,1
6.6667,0,0,12,41,1
7.7,1,1,12,16,1
10,1,0,16,6,1
10.25,0,1,9,24,1
7.5,0,0,12,15,1
15.98,1,0,16,24,0
20,0,0,16,10,1
5.1136,0,0,12,11,1
9,1,1,12,17,0
4,0,0,8,18,0
4,1,1,12,21,0
15.1,1,0,18,12,0
4.6857,1,0,12,26,0
4,1,1,12,27,1
5,1,0,12,35,1
4,1,0,12,8,0
11,0,0,8,25,1
10,1,0,14,6,1
5.5,1,0,12,29,0
9.1081,1,0,14,25,1
14,0,1,12,12,0
11.98,0,0,12,12,1
3.35,1,0,11,26,1
2.01,1,0,16,10,0
5.1,0,0,8,12,1
3.1579,0,1,12,8,0
1.875,1,1,12,19,0
6.8,1,0,14,29,1
7.23,1,1,12,18,0
11.6667,0,0,18,23,1
4,1,0,13,13,1
12.5,1,0,12,41,1
8.25,1,0,12,23,1
12.5,0,0,15,14,1
6,0,0,12,19,1
9.65,1,0,14,15,1
7.5,1,1,14,10,1
13.6667,0,1,15,33,1
4.5,1,1,12,20,0
6.53,1,1,12,20,1
6.9,0,1,11,33,0
6.5,1,1,12,16,1
5.6,0,0,12,25,1
8,0,1,12,15,1
18.75,1,0,16,9,1
7,0,1,14,18,0
11,0,0,16,21,1
51.973,1,0,18,18,1
5,0,0,12,13,0
15,0,0,16,10,0
11.43,0,0,12,11,1
14,0,0,11,18,0
20,1,0,16,11,1
10,0,0,12,31,1
10,1,0,14,13,0
19.22,0,0,18,15,1
8.5,1,0,15,7,0
13.5,0,0,12,15,1
11,0,0,12,14,0
17.2,0,0,14,14,0
11.88,0,0,12,28,1
6.75,1,0,9,42,0
8.75,1,0,12,23,1
4.2323,0,0,18,6,0
10.25,0,0,12,17,1
9.5,1,0,12,12,1
17.5,1,0,18,21,1
8.5,0,0,12,16,0
9,1,0,14,9,1
4.08,1,0,12,11,1
6.82,0,0,12,37,1
13.5,1,0,16,25,1
16.04,0,0,15,9,1
4.35,1,0,11,33,0
5.1,1,0,12,21,1
5,0,0,14,11,1
5.7143,0,0,14,21,1
5.46,1,0,12,10,1
11.9,0,0,10,19,0
12.6,0,0,12,19,1
16,1,0,12,16,1
5,0,0,12,16,0
4,1,0,16,21,0
14.425,0,0,16,17,1
15,0,0,16,11,1
10.68,0,0,12,20,1
11.67,1,0,16,9,0
6,1,0,9,31,1
7.25,1,0,12,16,0
15.5556,1,0,16,16,0
20,0,0,16,13,0
21.3,0,0,16,9,1
5,0,0,16,15,0
6,0,0,12,12,0
14,0,0,13,24,0
12.5,0,0,12,14,1
8.75,1,0,11,28,0
11.125,0,0,14,14,1
17.5,0,0,14,13,1
7.5,1,0,16,5,0
4,0,0,6,22,0
8,1,0,12,17,0
16.25,0,0,14,19,1
6.7143,0,0,16,9,0
12,0,0,14,6,0
16,0,0,13,11,1
5,0,0,12,9,1
15.625,1,0,16,10,1
15.38,0,0,12,21,1
18,0,0,15,16,1
5.5,0,0,12,8,0
22.1,1,0,17,36,1
10.2778,1,0,12,24,1
12,0,0,16,17,0
7.5,1,0,16,17,0
6.6667,1,0,14,7,1
22.5,0,0,16,37,1
13.79,0,0,14,29,1
11,0,0,12,26,1
8,1,0,14,15,1
14.13,0,0,14,22,1
5,1,0,12,35,1
7.15,0,0,12,14,1
8,0,0,8,22,1
10,1,0,18,13,1
18.55,0,0,13,12,1
6.72,1,0,12,20,1
6.1,1,0,12,17,0
8.3,1,0,18,4,0
8.4884,1,0,14,25,1
4.5,0,1,10,14,0
3,0,1,12,12,0
5.74,1,0,12,24,1
5.625,0,0,14,7,1
4.4,0,0,15,22,1
8.85,1,0,15,21,1
2.1,1,0,12,30,1
5.5556,1,0,12,36,1
8.5,0,0,12,12,1
6,0,0,12,13,0
4.85,1,0,12,35,1
27.47,0,0,16,25,1
14,0,0,13,13,1
8.75,0,0,12,11,1
12,1,0,12,33,1
7,1,0,15,20,1
12,1,0,17,13,1
12,0,0,13,26,1
8.5,1,0,13,23,1
6.25,1,0,12,12,0
18.275,1,0,16,33,1
5.25,1,0,12,31,1
8.5,0,0,7,22,1
5.25,1,0,12,15,1
25,0,0,14,13,1
6.45,1,0,12,8,1
8.02,1,1,14,11,1
10.5,0,0,10,16,1
12.5,1,0,18,7,0
8,0,0,11,25,1
